,Name,Duration,Wind speed,Pressure,Areas affected,Deaths,Damage,REf,Category
0,One,"June 16 – 26, 1921",90 mph (150 km/h),980 hPa (28.94 inHg),"Central America, Gulf of Mexico",0,,[2],1
1,Two,"September 4 – 8, 1921",80 mph (130 km/h),985 hPa (29.09 inHg),Mexico,215,$19 million,[2],1
2,Four,"September 8 – 14, 1921",90 mph (150 km/h),979 hPa (28.91 inHg),None,0,,[2],1
3,Three,"September 18 – 24, 1922",80 mph (130 km/h),987 hPa (29.15 inHg),None,0,,[2],1
4,Four,"September 10 – 13, 1923",80 mph (130 km/h),986 hPa (29.12 inHg),Newfoundland,0,,[2],1
5,Six,"October 12 – 17, 1923",80 mph (130 km/h),983 hPa (29.03 inHg),"Mexico, Gulf Coast of the United States",0,,[2],1
6,Five,"September 13 – 17, 1924",85 mph (140 km/h),980 hPa (28.94 inHg),United States East Coast,Unknown,,[2],1
7,Eleven,"November 5 – 14, 1924",80 mph (130 km/h),994 hPa (29.35 inHg),"Cuba, The Bahamas",Unknown,,[2],1
8,One,"August 18 – 24, 1925",80 mph (130 km/h),994 hPa (29.35 inHg),None,0,,[2],1
9,Two,"September 2 – 11, 1927",90 mph (150 km/h),"1,007 hPa (29.74 inHg)",Cape Verde,0,,[2],1
10,Three,"September 22 – 29, 1927",80 mph (130 km/h),"1,005 hPa (29.68 inHg)",None,19,$4.36 million,[2],1
11,1928 Haiti hurricane,"August 7 – 17, 1928",90 mph (150 km/h),998 hPa (29.47 inHg),"Windward Islands, Leeward Islands, Gulf Coast of the United States",210,$2 million,[2],1
12,Six,"September 10 – 15, 1928",90 mph (150 km/h),980 hPa (28.94 inHg),None,0,,[2],1
13,One,"June 27 — 30, 1929",90 mph (150 km/h),982 hPa (29.00 inHg),Gulf of Mexico,Unknown,$365 thousand,[2],1
14,Five,"October 19 – 22, 1929",80 mph (130 km/h),997 hPa (29.44 inHg),None,0,,[2],1
15,Eight,"September 23 – 28, 1931",75 mph (120 km/h),987 hPa (29.15 inHg),None,0,,[2],1
16,1932 Florida–Alabama hurricane,"August 26 – September 2, 1932",85 mph (140 km/h),979 hPa (28.91 inHg),United States Gulf Coast,Unknown,$226 thousand,[2],1
17,1933 Florida–Mexico hurricane,"July 23 – August 5, 1933",90 mph (150 km/h),975 hPa (28.79 inHg),"Leeward Islands, United States Gulf Coast, Mexico",Unknown,$500 thousand,[2],1
18,Fifteen,"September 24 – 27, 1933",75 mph (120 km/h),991 hPa (29.26 inHg),Azores,0,,[2],1
19,Eighteen,"October 25 – November 7, 1933",90 mph (150 km/h),982 hPa (29.00 inHg),"Cuba, The Bahamas",23,$3 million,[2],1
20,Two,"July 12 – 16, 1934",90 mph (150 km/h),980 hPa (28.94 inHg),"Bermuda, Newfoundland and Labrador",0,,[2],1
21,Three,"July 22 – 26, 1934",85 mph (140 km/h),975 hPa (28.79 inHg),United States Gulf Coast,Unknown,,[2],1
22,Five,"August 26 – September 1, 1934",80 mph (130 km/h),989 hPa (29.21 inHg),United States Gulf Coast,Unknown,,[2],1
23,1935 Jérémie hurricane,"October 18 – 27, 1935",85 mph (140 km/h),988 hPa (29.18 inHg),"Central America, Jamaica, Cuba, Haiti",2150,,[2][65],1
24,Three,"June 26 – 28, 1936",80 mph (130 km/h),987 hPa (29.15 inHg),Texas,Unknown,$550 thousand,[2],1
25,Eight,"August 15 – 20, 1936",75 mph (120 km/h),999 hPa (29.50 inHg),"Yucatán Peninsula, Tamaulipas",0,,[2],1
26,Eleven,"August 28 – 30, 1936",80 mph (130 km/h),"1,000 hPa (29.53 inHg)","Yucatán Peninsula, Veracruz",0,,[2],1
27,Eleven,"October 19 – 21, 1937",80 mph (130 km/h),995 hPa (29.38 inHg),None,0,,[2],1
28,Two,"August 7 – 19, 1939",75 mph (120 km/h),985 hPa (29.09 inHg),"Puerto Rico, Turks and Caicos Islands, The Bahamas, Eastern United States",0,$2 thousand,[2],1
29,Six,"October 28 – November 6, 1939",90 mph (150 km/h),989 hPa (29.21 inHg),"Honduras, The Caribbean, Bermuda",2,,[2],1
30,Eight,"October 20 – 24, 1940",80 mph (130 km/h),993 hPa (29.32 inHg),Nicaragua,Unknown,Unknown,[66],1
31,Three,"September 18 – 25, 1941",80 mph (130 km/h),978 hPa (28.88 inHg),None,0,,[2],1
32,Two,"August 17 – 23, 1942",80 mph (130 km/h),992 hPa (29.29 inHg),Texas,0,$790 thousand,[2],1
33,One,"July 13 – 18, 1944",80 mph (130 km/h),995 hPa (29.38 inHg),Bermuda,0,,[2],1
34,Three,"July 30 – August 4, 1944",80 mph (130 km/h),985 hPa (29.09 inHg),"North Carolina, Mid-Atlantic states",0,$2 million,[2],1
35,Eight,"September 19 – 22, 1944",80 mph (130 km/h),996 hPa (29.41 inHg),Mexico,Unknown,,[2],1
36,Twelve,"October 11 – 15, 1944",80 mph (130 km/h),998 hPa (29.47 inHg),None,0,,[2],1
37,Ten,"October 2 – 7, 1945",90 mph (150 km/h),982 hPa (29.00 inHg),"Belize, Guatemala, Honduras, Mexico",1,,[2],1
38,Two,"July 5 – 9, 1946",80 mph (130 km/h),"1,005 hPa (29.68 inHg)",North Carolina,0,,[2],1
39,Three,"August 18 – 27, 1947",80 mph (130 km/h),984 hPa (29.06 inHg),"Cuba, Louisiana, Texas",1,$800 thousand,[2],1
40,Five,"September 1 – 7, 1948",80 mph (130 km/h),983 hPa (29.03 inHg),"Louisiana, Mississippi, Midwestern United States",0,$900 thousand,[2],1
41,Ten,"November 8 – 11, 1948",75 mph (120 km/h),990 hPa (29.23 inHg),None,0,,[2],1
42,Ten,"September 20 – 22, 1949",80 mph (130 km/h),"1,003 hPa (29.62 inHg)","Saint Croix, Puerto Rico, Dominican Republic",15,$1.012 million,[2],1
43,Thirteen,"October 13 – 19, 1949",90 mph (150 km/h),981 hPa (28.97 inHg),"Cuba, The Bahamas",0,,[2],1
44,Love,"October 18 – 22, 1950",80 mph (130 km/h),987 hPa (29.15 inHg),"Georgia, Louisiana, Southwestern Florida",0,,[2],1
45,Able,"May 15 – 23, 1951",90 mph (150 km/h),973 hPa (28.73 inHg),"Florida, Bahamas, North Carolina, South Carolina, Virginia",0,,[2],1
46,Dog,"August 27 – September 5, 1951",90 mph (150 km/h),992 hPa (29.29 inHg),"Martinique, Saint Lucia, Hispaniola, Jamaica",7,$3 million,[2],1
47,Jig,"October 15 – 17, 1951",75 mph (120 km/h),990 hPa (29.23 inHg),"North Carolina, Virginia",0,,[2],1
48,Twelve,"September 2 – 11, 1951",80 mph (130 km/h),995 hPa (29.38 inHg),None,0,,[2],1
49,Barbara,"August 11 – 15, 1953",90 mph (150 km/h),973 hPa (28.73 inHg),"United States East Coast, Atlantic Canada",9,$1.3 million,[2],1
50,Dolly,"September 8 – 12, 1953",75 mph (120 km/h),989 hPa (29.21 inHg),"Virgin Islands, Puerto Rico, The Bahamas, Bermuda",0,,[2],1
51,Gail,"October 2 – 12, 1953",80 mph (130 km/h),986 hPa (29.12 inHg),None,0,,[2],1
52,Hazel,"October 7 – 10, 1953",85 mph (140 km/h),980 hPa (28.94 inHg),"Florida, Sable Island",0,$250 thousand,[2],1
53,Dolly,"August 31 – September 2, 1954",85 mph (140 km/h),994 hPa (29.35 inHg),None,0,,[2],1
54,Alice,"December 30, 1954 – January 6, 1955",90 mph (150 km/h),980 hPa (28.94 inHg),"Saba, Anguilla, Lesser Antilles",0,$623 thousand,[2],1
55,Gladys,"September 3 – 6, 1955",90 mph (150 km/h),996 hPa (29.41 inHg),"Western Mexico, Yucatán Peninsula",0,$500 thousand,[2],1
56,Anna,"July 25 – 27, 1956",85 mph (140 km/h),991 hPa (29.26 inHg),Mexico,0,$50 thousand,[2],1
57,Flossy,"September 20 – 25, 1956",90 mph (150 km/h),974 hPa (28.76 inHg),"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia",15,$24.9 million,[2],1
58,Frieda,"September 20 – 26, 1957",85 mph (140 km/h),975 hPa (28.79 inHg),"Bermuda, Newfoundland",0,,[2],1
59,Fifi,"September 4 – 11, 1958",85 mph (140 km/h),"1,000 hPa (29.53 inHg)",None,0,,[2],1
60,Escuminac (Three),"June 18 – 19, 1959",85 mph (140 km/h),974 hPa (28.76 inHg),"Florida, Atlantic Canada",35,$2.5 million,[2],1
61,Cindy,"July 4 – 11, 1959",75 mph (120 km/h),996 hPa (29.41 inHg),"The Carolinas, Mid-Atlantic states, New England, Canadian Maritime Provinces",6,$75 thousand,[2],1
62,Debra,"July 22 – 27, 1959",85 mph (140 km/h),984 hPa (29.06 inHg),"Texas, Oklahoma, United States Gulf Coast, Midwestern United States",0,$7 million,[2],1
63,Flora,"September 9 – 12, 1959",75 mph (120 km/h),994 hPa (29.35 inHg),None,0,,[2],1
64,Judith,"October 14 – 22, 1959",85 mph (140 km/h),988 hPa (29.18 inHg),Florida,0,,[2],1
65,Abby,"July 9 – 17, 1960",80 mph (130 km/h),995 hPa (29.38 inHg),"Lesser Antilles, Puerto Rico, Leeward Antilles, Hispaniola, Jamaica, Nicaragua, Honduras, Belize, Guatemala, Mexico",6,$640 thousand,[2],1
66,Cleo,"August 17 – 21, 1960",85 mph (140 km/h),995 hPa (29.38 inHg),"Greater Antilles, The Bahamas, Northeastern United States, Nova Scotia",0,,[2],1
67,Debbie,"September 6 – 16, 1961",90 mph (150 km/h),975 hPa (28.79 inHg),"Cape Verde, Azores, Ireland, United Kingdom, Norway, Soviet Union",78,$50 million,[2],1
68,Jenny,"November 1 – 10, 1961",80 mph (130 km/h),974 hPa (28.76 inHg),"Puerto Rico, Leeward Islands",0,,[2],1
69,Alma,"August 26 – 30, 1962",85 mph (140 km/h),984 hPa (29.06 inHg),"Puerto Rico, United States East Coast",1,$1 million,[2],1
70,Ten,"November 28 – December 4, 1962",90 mph (150 km/h),988 hPa (29.18 inHg),United States East Coast,0,,[2],1
71,Four,"September 9 – 14, 1963",80 mph (130 km/h),990 hPa (29.23 inHg),Bermuda,0,,[2],1
72,Debra,"September 19 – 24, 1963",75 mph (120 km/h),999 hPa (29.50 inHg),None,0,,[2],1
73,Three,"July 28 – August 2, 1964",85 mph (140 km/h),990 hPa (29.23 inHg),British Isles,0,,[2],1
74,Carol,"September 16 – 30, 1965",90 mph (150 km/h),974 hPa (28.76 inHg),Azores,0,,[2],1
75,Becky,"July 1 – 3, 1966",75 mph (120 km/h),985 hPa (29.09 inHg),None,0,,[2],1
76,Celia,"July 13 – 21, 1966",80 mph (130 km/h),995 hPa (29.38 inHg),"Atlantic Canada, Quebec",0,,[2],1
77,Dorothy,"July 22 – 30, 1966",85 mph (140 km/h),989 hPa (29.21 inHg),None,0,,[2],1
78,Lois,"November 4 – 11, 1966",80 mph (130 km/h),986 hPa (29.12 inHg),Azores,0,,[2],1
79,Arlene,"August 28 – September 4, 1967",85 mph (140 km/h),982 hPa (29.00 inHg),Newfoundland,0,,[2],1
80,Doria,"September 8 – 21, 1967",85 mph (140 km/h),973 hPa (28.73 inHg),United States East Coast,3,$150 thousand,[2],1
81,Fern,"October 1 – 4, 1967",85 mph (140 km/h),987 hPa (29.15 inHg),"Mexico, Texas",3,,[2],1
82,Heidi,"October 19 – 31, 1967",90 mph (150 km/h),981 hPa (28.97 inHg),Bermuda,0,,[2],1
83,Abby,"June 1 – 13, 1968",75 mph (120 km/h),992 hPa (29.29 inHg),"Cuba, Florida, Georgia, The Carolinas",6,"$450,000 ",[2],1
84,Brenda,"June 17 – 26, 1968",75 mph (120 km/h),990 hPa (29.23 inHg),Florida,0,,[2],1
85,Dolly,"August 10 – 17, 1968",80 mph (130 km/h),985 hPa (29.09 inHg),"The Carolinas, Florida, Azores",0,,[2],1
86,Gladys,"October 13 – 21, 1968",85 mph (140 km/h),965 hPa (28.50 inHg),"Cuba, Florida, United States East Coast, Nova Scotia",11,$18.7 million,[2],1
87,Blanche,"August 11 – 12, 1969",85 mph (140 km/h),997 hPa (29.44 inHg),Sable Island,0,,[2],1
88,Holly,"September 14 – 21, 1969",85 mph (140 km/h),984 hPa (29.06 inHg),Leeward Islands,0,,[2],1
89,Ten,"September 21 – 26, 1969",75 mph (120 km/h),985 hPa (29.09 inHg),None,0,,[2],1
90,Seventeen,"October 31 – November 7, 1969",75 mph (120 km/h),988 hPa (29.18 inHg),None,0,,[2],1
91,Martha,"November 21 – 25, 1969",90 mph (150 km/h),975 hPa (28.79 inHg),"Panama, Costa Rica",5,$30 million,[2],1
92,Alma,"May 17 – 26, 1970",75 mph (120 km/h),993 hPa (29.32 inHg),"Cayman Islands, Jamaica, Cuba, Southeastern United States",8,,[2],1
93,Nineteen,"October 20 – 28, 1970",80 mph (130 km/h),988 hPa (29.18 inHg),None,0,,[2],1
94,Two,"August 3 – 7, 1971",85 mph (140 km/h),974 hPa (28.76 inHg),None,0,,[2],1
95,Beth,"August 10 – 16, 1971",85 mph (140 km/h),977 hPa (28.85 inHg),"The Bahamas, Florida, Nova Scotia, Newfoundland",1,$5.1 million,[2],1
96,Fern,"September 3 – 13, 1971",90 mph (150 km/h),979 hPa (28.91 inHg),"Louisiana, Texas, northern Mexico",2,$30.2 million,[2],1
97,Irene,"September 11 – 20, 1971",80 mph (130 km/h),989 hPa (29.21 inHg),"Lesser Antilles, Leeward Antilles, Central America",3,$1 million,[2],1
98,Agnes,"June 14 – 23, 1972",90 mph (150 km/h),977 hPa (28.85 inHg),"Yucatán Peninsula, western Cuba, Florida Panhandle, Georgia, North Carolina, Virginia, Maryland, Pennsylvania, New York, Atlantic Canada",128,$2.1 billion,[2],1
99,Dawn,"September 5 – 14, 1972",80 mph (130 km/h),997 hPa (29.44 inHg),Southeastern United States,0,,[2],1
100,Alice,"July 1 – 7, 1973",90 mph (150 km/h),986 hPa (29.12 inHg),"Bermuda, Newfoundland",0,,[2],1
101,Brenda,"August 18 – 22, 1973",90 mph (150 km/h),977 hPa (28.85 inHg),"Cayman Islands, Mexico",10,,[2],1
102,Fran,"October 8 – 12, 1973",80 mph (130 km/h),978 hPa (28.88 inHg),Azores,0,,[2],1
103,Gertrude,"September 25 – October 4, 1974",75 mph (120 km/h),999 hPa (29.50 inHg),Windward Islands,0,,[2],1
104,Blanche,"July 23 – 28, 1975",85 mph (140 km/h),980 hPa (28.94 inHg),"Maine, Nova Scotia",0,$6.2 million,[2],1
105,Candice,"August 18 – 24, 1976",90 mph (150 km/h),964 hPa (28.47 inHg),None,0,,[2],1
106,Holly,"October 22 – 28, 1976",75 mph (120 km/h),990 hPa (29.23 inHg),None,0,,[2],1
107,Babe,"September 3 – 9, 1977",75 mph (120 km/h),995 hPa (29.38 inHg),"Florida, Louisiana, Alabama, Mississippi, Tennessee, Georgia, South Carolina, North Carolina and Virginia",0,$13 million,[2],1
108,Clara,"September 5 – 11, 1977",75 mph (120 km/h),993 hPa (29.32 inHg),"The Carolinas, Nova Scotia",0,,[2],1
109,Dorothy,"September 26 – 29, 1977",85 mph (140 km/h),980 hPa (28.94 inHg),"Bermuda, Newfoundland",0,,[2],1
110,Evelyn,"October 13 – 15, 1977",80 mph (130 km/h),994 hPa (29.35 inHg),"Bermuda, Nova Scotia, Newfoundland",0,,[2],1
111,Cora,"August 7 – 12, 1978",90 mph (150 km/h),980 hPa (28.94 inHg),"Windward Islands, St. Lucia, Barbados, Grenada",1,,[2],1
112,Kendra,"October 28 – November 1, 1978",80 mph (130 km/h),990 hPa (29.23 inHg),"Puerto Rico, United States East Coast",1,$6 million,[2],1
113,Bob,"July 9 – 16, 1979",75 mph (120 km/h),983 hPa (29.03 inHg),"Louisiana, Mississippi, Alabama, Midwestern United States",1,$20 million,[2],1
114,Henri,"September 15 – 24, 1979",85 mph (140 km/h),986 hPa (29.12 inHg),"Mexico, Florida",0,,[2],1
115,Charley,"August 20 – 25, 1980",80 mph (130 km/h),989 hPa (29.21 inHg),North Carolina,7,,[2],1
116,Georges,"September 1 – 8, 1980",80 mph (130 km/h),993 hPa (29.32 inHg),Newfoundland,0,,[2],1
117,Earl,"September 4 – 10, 1980",75 mph (120 km/h),985 hPa (29.09 inHg),None,0,,[2],1
118,Karl,"November 25 – 28, 1980",85 mph (140 km/h),985 hPa (29.09 inHg),None,0,,[2],1
119,Dennis,"August 7 – 21, 1981",80 mph (130 km/h),995 hPa (29.38 inHg),"Lesser Antilles, Greater Antilles, The Bahamas, Florida, Georgia, The Carolinas, Virginia",0,$15 million,[2],1
120,Emily,"August 31 – September 11, 1981",90 mph (150 km/h),966 hPa (28.53 inHg),None,0,,[2],1
121,Katrina,"November 3 – 7, 1981",85 mph (140 km/h),980 hPa (28.94 inHg),"Cayman Islands, Jamaica, Cuba, The Bahamas, Turks and Caicos Islands",2,,[2],1
122,Alberto,"June 1 – 6, 1982",85 mph (140 km/h),985 hPa (29.09 inHg),"Cuba, Florida",23,$85 million,[2],1
123,Barry,"August 23 – 29, 1983",80 mph (130 km/h),986 hPa (29.12 inHg),"Florida, Texas, Mexico",0,,[2],1
124,Chantal,"September 10 – 15, 1983",75 mph (120 km/h),994 hPa (29.35 inHg),None,0,,[2],1
125,Hortense,"September 23 – October 2, 1984",75 mph (120 km/h),993 hPa (29.32 inHg),None,0,,[2],1
126,Klaus,"November 5 – 13, 1984",90 mph (150 km/h),971 hPa (28.67 inHg),"Puerto Rico, Leeward Islands",2,$152 million,[2],1
127,Lili,"December 12 – 24, 1984",80 mph (130 km/h),980 hPa (28.94 inHg),"Puerto Rico, Hispaniola",0,,[2],1
128,Bob,"July 21 – 26, 1985",75 mph (120 km/h),"1,002 hPa (29.59 inHg)",United States East Coast,5,$20 million,[2],1
129,Claudette,"August 9 – 16, 1985",85 mph (140 km/h),980 hPa (28.94 inHg),"Bermuda, Azores",0,,[2],1
130,Danny,"August 12 – 18, 1985",90 mph (150 km/h),987 hPa (29.15 inHg),"Cuba, United States Gulf Coast, Tennessee, The Carolinas, Virginia",5,$100 million,[2],1
131,Juan,"October 26 – November 21, 1985",85 mph (140 km/h),971 hPa (28.67 inHg),"United States Gulf Coast, central United States, Canada",12,$1.5 billion,[2],1
132,Bonnie,"June 23 – 26, 1986",85 mph (140 km/h),992 hPa (29.29 inHg),"Texas, Louisiana, Southeastern United States",5,$42 million,[2],1
133,Charley,"August 13 – 20, 1986",80 mph (130 km/h),987 hPa (29.15 inHg),"United States East Coast, United Kingdom",15,$15 million,[2],1
134,Frances,"November 16 – 21, 1986",85 mph (140 km/h),"1,000 hPa (29.53 inHg)",None,0,,[2],1
135,Arlene,"August 10 – 23, 1987",75 mph (120 km/h),987 hPa (29.15 inHg),"The Bahamas, Bermuda",0,$8 thousand,[2],1
136,Floyd,"October 9 – 13, 1987",75 mph (120 km/h),993 hPa (29.32 inHg),"Cuba, Florida, The Bahamas",1,$500 thousand,[2],1
137,Debby,"August 31 – September 8, 1988",75 mph (120 km/h),991 hPa (29.26 inHg),Mexico,20,,[2],1
138,Florence,"September 7 – 11, 1988",80 mph (130 km/h),982 hPa (29.00 inHg),"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida",1,$2.9 million,[2],1
139,Chantal,"July 30 – August 3, 1989",80 mph (130 km/h),984 hPa (29.06 inHg),"Texas, Louisiana, Oklahoma, Midwestern United States",13,$100 million,[2],1
140,Felix,"August 25 – September 9, 1989",85 mph (140 km/h),979 hPa (28.91 inHg),None,0,,[2],1
141,Jerry,"October 12 – 16, 1989",85 mph (140 km/h),982 hPa (29.00 inHg),"Texas, eastern United States",3,$70 million,[2],1
142,Bertha,"July 24 – August 2, 1990",80 mph (130 km/h),973 hPa (28.73 inHg),"The Bahamas, United States East Coast, Bermuda, Atlantic Canada",9,$3.91 million,[2],1
143,Josephine,"September 21 – October 6, 1990",85 mph (140 km/h),980 hPa (28.94 inHg),None,0,,[2],1
144,Klaus,"October 3 – 9, 1990",80 mph (130 km/h),985 hPa (29.09 inHg),"Lesser Antilles, Puerto Rico, Hispaniola, Turks and Caicos Islands, The Bahamas, Southeastern United States",11,$1 million,[2],1
145,Lili,"October 6 – 14, 1990",75 mph (120 km/h),987 hPa (29.15 inHg),"Bermuda, United States East Coast, Atlantic Canada",0,,[2],1
146,Nana,"October 16 – 21, 1990",85 mph (140 km/h),989 hPa (29.21 inHg),Bermuda,0,,[2],1
147,1991 Perfect Storm,"October 31 - November 2, 1991",75 mph (120 km/h),980 hPa (28.94 inHg),"Northeastern United States, Mid-Atlantic states, Eastern Canada",13,$200 million,[2],1
148,Frances,"October 23 – 27, 1992",85 mph (140 km/h),976 hPa (28.82 inHg),"Newfoundland, Iberian Peninsula",0,,[2],1
149,Floyd,"September 7 – 10, 1993",75 mph (120 km/h),990 hPa (29.23 inHg),Newfoundland,0,,[2],1
150,Harvey,"September 18 – 21, 1993",75 mph (120 km/h),990 hPa (29.23 inHg),None,0,,[2],1
151,Chris,"August 16 – 23, 1994",80 mph (130 km/h),979 hPa (28.91 inHg),Bermuda,0,,[2],1
152,Gordon,"November 8 – 21, 1994",85 mph (140 km/h),980 hPa (28.94 inHg),"Central America, Cayman Islands, Jamaica, Hispaniola, Cuba, Turks and Caicos Islands, The Bahamas, Florida, Georgia, Mid-Atlantic states",1152,$594 million,[2],1
153,Allison,"June 3 – 6, 1995",75 mph (120 km/h),987 hPa (29.15 inHg),"Yucatán Peninsula, western Cuba, Florida, Georgia, The Carolinas, Atlantic Canada",1,$1.7 million,[2],1
154,Noel,"September 28 – October 7, 1995",75 mph (120 km/h),987 hPa (29.15 inHg),None,0,,[2],1
155,Tanya,"October 26 – November 1, 1995",85 mph (140 km/h),972 hPa (28.70 inHg),Azores,1,,[2],1
156,Cesar,"July 24 – 28, 1996",85 mph (140 km/h),985 hPa (29.09 inHg),"Windward Islands, Trinidad and Tobago, Leeward Antilles, Venezuela, Colombia, Mexico, Socorro Island, Panama, Guatemala, El Salvador",113,$203 million,[2],1
157,Dolly,"August 19 – 25, 1996",80 mph (130 km/h),989 hPa (29.21 inHg),"Belize, Mexico, Texas",14,,[2],1
